relative_score,most_popular_searches,geo,keyword,category
22,denim skirt outfit,GB,denim skirt,0
20,blue denim skirt,GB,denim skirt,0
20,asos,GB,denim skirt,0
20,asos denim skirt,GB,denim skirt,0
20,red skirt,GB,denim skirt,0
20,womens denim skirt,GB,denim skirt,0
19,denim ripped skirt,GB,denim skirt,0
100,mens jeans,GB,jeans,0
92,black jeans,GB,jeans,0
77,skinny jeans,GB,jeans,0
52,ripped jeans,GB,jeans,0
46,blue jeans,GB,jeans,0
43,womens jeans,GB,jeans,0
41,white jeans,GB,jeans,0
33,topshop,GB,jeans,0
32,topshop jeans,GB,jeans,0
30,next jeans,GB,jeans,0
25,ladies jeans,GB,jeans,0
25,levi jeans,GB,jeans,0
25,armani,GB,jeans,0
25,levi,GB,jeans,0
25,armani jeans,GB,jeans,0
23,high waisted jeans,GB,jeans,0
23,denim jeans,GB,jeans,0
21,mom jeans,GB,jeans,0
21,levis,GB,jeans,0
21,levis jeans,GB,jeans,0
21,new look jeans,GB,jeans,0
21,grey jeans,GB,jeans,0
20,asos jeans,GB,jeans,0
18,river island jeans,GB,jeans,0
16,black skinny jeans,GB,jeans,0
100,black mens jeans,GB,mens jeans,0
100,skinny jeans mens,GB,mens jeans,0
99,black jeans,GB,mens jeans,0
98,skinny jeans,GB,mens jeans,0
69,mens jeans uk,GB,mens jeans,0
62,mens ripped jeans,GB,mens jeans,0
61,jeans sale,GB,mens jeans,0
61,ripped jeans,GB,mens jeans,0
59,jeans sale mens,GB,mens jeans,0
43,mens blue jeans,GB,mens jeans,0
42,mens slim jeans,GB,mens jeans,0
42,blue jeans,GB,mens jeans,0
38,white mens jeans,GB,mens jeans,0
38,next mens jeans,GB,mens jeans,0
38,white jeans,GB,mens jeans,0
37,next jeans,GB,mens jeans,0
31,grey jeans,GB,mens jeans,0
31,mens grey jeans,GB,mens jeans,0
31,armani,GB,mens jeans,0
31,armani jeans mens,GB,mens jeans,0
30,armani jeans,GB,mens jeans,0
29,levi jeans,GB,mens jeans,0
28,mens jeans slim fit,GB,mens jeans,0
28,mens shoes,GB,mens jeans,0
28,slim fit jeans,GB,mens jeans,0
100,ripped black jeans,GB,ripped jeans,0
96,black jeans,GB,ripped jeans,0
75,ripped skinny jeans,GB,ripped jeans,0
67,mens jeans,GB,ripped jeans,0
66,ripped mens jeans,GB,ripped jeans,0
34,blue jeans,GB,ripped jeans,0
33,ripped blue jeans,GB,ripped jeans,0
30,ripped jeans womens,GB,ripped jeans,0
28,ripped white jeans,GB,ripped jeans,0
26,white jeans,GB,ripped jeans,0
26,high waisted ripped jeans,GB,ripped jeans,0
26,ripped black skinny jeans,GB,ripped jeans,0
26,black skinny jeans,GB,ripped jeans,0
24,black skinny ripped jeans,GB,ripped jeans,0
24,high waisted jeans,GB,ripped jeans,0
22,topshop ripped jeans,GB,ripped jeans,0
22,topshop jeans,GB,ripped jeans,0
22,topshop,GB,ripped jeans,0
21,ripped skinny jeans mens,GB,ripped jeans,0
20,mens ripped jeans black,GB,ripped jeans,0
20,ripped jeans new look,GB,ripped jeans,0
19,ripped jeans men,GB,ripped jeans,0
19,new look jeans,GB,ripped jeans,0
19,new look,GB,ripped jeans,0
19,men ripped jeans,GB,ripped jeans,0
100,mens denim jacket,GB,denim jacket men,0
68,black denim jacket,GB,denim jacket men,0
31,denim jackets,GB,denim jacket men,0
24,asos,GB,denim jacket men,0
20,black denim jacket mens,GB,denim jacket men,0
20,levis denim jacket,GB,denim jacket men,0
20,blue denim jacket,GB,denim jacket men,0
17,bomber jacket men,GB,denim jacket men,0
16,topman,GB,denim jacket men,0
15,denim jacket with fur,GB,denim jacket men,0
13,zara,GB,denim jacket men,0
12,ripped denim jacket,GB,denim jacket men,0
12,river island,GB,denim jacket men,0
12,zara denim jacket,GB,denim jacket men,0
12,oversized denim jacket men,GB,denim jacket men,0
11,new look denim jacket,GB,denim jacket men,0
10,levi denim jacket,GB,denim jacket men,0
10,denim jackets for men,GB,denim jacket men,0
9,denim jacket women,GB,denim jacket men,0
8,h&m,GB,denim jacket men,0
7,denim jacket with fur collar,GB,denim jacket men,0
6,red denim jacket,GB,denim jacket men,0
5,superdry,GB,denim jacket men,0
3,boohooman,GB,denim jacket men,0
3,what to wear with a denim jacket,GB,denim jacket men,0
100,high waisted black jeans,GB,high waisted jeans,0
98,black jeans,GB,high waisted jeans,0
74,skinny high waisted jeans,GB,high waisted jeans,0
73,skinny jeans,GB,high waisted jeans,0
62,ripped jeans,GB,high waisted jeans,0
60,ripped high waisted jeans,GB,high waisted jeans,0
33,new look,GB,high waisted jeans,0
32,womens high waisted jeans,GB,high waisted jeans,0
32,topshop high waisted jeans,GB,high waisted jeans,0
31,new look high waisted jeans,GB,high waisted jeans,0
31,new look jeans,GB,high waisted jeans,0
31,topshop,GB,high waisted jeans,0
30,high waisted white jeans,GB,high waisted jeans,0
29,topshop jeans,GB,high waisted jeans,0
29,white jeans,GB,high waisted jeans,0
29,high waisted jeans uk,GB,high waisted jeans,0
27,blue high waisted jeans,GB,high waisted jeans,0
27,blue jeans,GB,high waisted jeans,0
26,high waisted mom jeans,GB,high waisted jeans,0
25,mom jeans,GB,high waisted jeans,0
24,high waisted black skinny jeans,GB,high waisted jeans,0
21,black skinny jeans,GB,high waisted jeans,0
18,black high waisted ripped jeans,GB,high waisted jeans,0
17,black ripped jeans,GB,high waisted jeans,0
17,high waisted skinny ripped jeans,GB,high waisted jeans,0
100,black denim jacket mens,GB,black denim jacket,0
98,mens denim jacket,GB,black denim jacket,0
85,womens denim jacket,GB,black denim jacket,0
68,black jeans denim jacket,GB,black denim jacket,0
50,oversized denim jacket,GB,black denim jacket,0
48,oversized black denim jacket,GB,black denim jacket,0
47,denim fur jacket,GB,black denim jacket,0
43,cropped black denim jacket,GB,black denim jacket,0
42,white denim jacket,GB,black denim jacket,0
42,black cropped jacket,GB,black denim jacket,0
40,cropped denim jacket,GB,black denim jacket,0
37,topshop denim jacket,GB,black denim jacket,0
35,asos black denim jacket,GB,black denim jacket,0
35,denim jacket men,GB,black denim jacket,0
35,asos,GB,black denim jacket,0
34,topshop,GB,black denim jacket,0
33,topshop black denim jacket,GB,black denim jacket,0
32,levis,GB,black denim jacket,0
31,black levis denim jacket,GB,black denim jacket,0
31,black denim jacket men,GB,black denim jacket,0
30,levis denim jacket,GB,black denim jacket,0
29,blue denim jacket,GB,black denim jacket,0
28,ripped denim jacket,GB,black denim jacket,0
27,denim jacket with fur,GB,black denim jacket,0
27,new look denim jacket,GB,black denim jacket,0
100,black denim skirt topshop,GB,black denim skirt,0
96,topshop,GB,black denim skirt,0
88,topshop denim skirt,GB,black denim skirt,0
83,white denim skirt,GB,black denim skirt,0
79,black denim mini skirt,GB,black denim skirt,0
76,black mini skirt,GB,black denim skirt,0
70,denim mini skirt,GB,black denim skirt,0
68,new look denim skirt,GB,black denim skirt,0
67,denim jacket,GB,black denim skirt,0
67,new look black denim skirt,GB,black denim skirt,0
64,new look,GB,black denim skirt,0
64,black denim jacket,GB,black denim skirt,0
64,black skirt outfit,GB,black denim skirt,0
57,black denim skirt outfit,GB,black denim skirt,0
50,womens black denim skirt,GB,black denim skirt,0
48,black denim ripped skirt,GB,black denim skirt,0
46,denim midi skirt,GB,black denim skirt,0
46,asos,GB,black denim skirt,0
44,black denim midi skirt,GB,black denim skirt,0
42,ripped denim skirt,GB,black denim skirt,0
41,denim skirts,GB,black denim skirt,0
40,missguided,GB,black denim skirt,0
40,red denim skirt,GB,black denim skirt,0
40,black leather skirt,GB,black denim skirt,0
36,black denim shorts,GB,black denim skirt,0
100,boyfriend jeans uk,GB,boyfriend jeans,0
97,boyfriend ripped jeans,GB,boyfriend jeans,0
83,ripped jeans,GB,boyfriend jeans,0
80,womens boyfriend jeans,GB,boyfriend jeans,0
73,mom jeans,GB,boyfriend jeans,0
72,black boyfriend jeans,GB,boyfriend jeans,0
59,topshop jeans,GB,boyfriend jeans,0
59,topshop boyfriend jeans,GB,boyfriend jeans,0
58,high waisted jeans,GB,boyfriend jeans,0
57,topshop,GB,boyfriend jeans,0
57,high waisted boyfriend jeans,GB,boyfriend jeans,0
47,new look,GB,boyfriend jeans,0
44,new look boyfriend jeans,GB,boyfriend jeans,0
42,asos,GB,boyfriend jeans,0
40,white boyfriend jeans,GB,boyfriend jeans,0
39,next jeans,GB,boyfriend jeans,0
39,asos boyfriend jeans,GB,boyfriend jeans,0
37,ladies boyfriend jeans,GB,boyfriend jeans,0
30,jeans for women,GB,boyfriend jeans,0
30,boyfriend jeans for women,GB,boyfriend jeans,0
30,h&m boyfriend jeans,GB,boyfriend jeans,0
29,zara boyfriend jeans,GB,boyfriend jeans,0
29,river island boyfriend jeans,GB,boyfriend jeans,0
28,zara,GB,boyfriend jeans,0
28,best boyfriend jeans,GB,boyfriend jeans,0
100,denim jacket for women,GB,denim jacket women,0
97,womens denim jacket,GB,denim jacket women,0
76,black denim jacket,GB,denim jacket women,0
66,black denim jacket women,GB,denim jacket women,0
60,denim jackets,GB,denim jacket women,0
40,denim jackets for women,GB,denim jacket women,0
33,oversized denim jacket,GB,denim jacket women,0
31,oversized denim jacket women,GB,denim jacket women,0
30,white denim jacket,GB,denim jacket women,0
29,denim shirt women,GB,denim jacket women,0
27,white denim jacket women,GB,denim jacket women,0
26,new look,GB,denim jacket women,0
22,topshop,GB,denim jacket women,0
21,levis denim jacket women,GB,denim jacket women,0
20,asos,GB,denim jacket women,0
18,levis denim jacket,GB,denim jacket women,0
17,zara,GB,denim jacket women,0
15,river island,GB,denim jacket women,0
12,primark,GB,denim jacket women,0
12,h&m,GB,denim jacket women,0
12,boohoo,GB,denim jacket women,0
11,missguided,GB,denim jacket women,0
9,bomber jacket women,GB,denim jacket women,0
100,black shorts,GB,denim shorts,0
99,black denim shorts,GB,denim shorts,0
88,denim mens shorts,GB,denim shorts,0
86,mens shorts,GB,denim shorts,0
84,womens shorts,GB,denim shorts,0
80,denim shorts womens,GB,denim shorts,0
69,high waisted shorts denim,GB,denim shorts,0
68,high waisted shorts,GB,denim shorts,0
63,white shorts,GB,denim shorts,0
61,white denim shorts,GB,denim shorts,0
50,denim shorts women,GB,denim shorts,0
40,denim shorts ladies,GB,denim shorts,0
38,denim ripped shorts,GB,denim shorts,0
38,ripped denim shorts,GB,denim shorts,0
33,topshop shorts denim,GB,denim shorts,0
33,topshop,GB,denim shorts,0
32,new look denim shorts,GB,denim shorts,0
32,new look shorts denim,GB,denim shorts,0
31,topshop shorts,GB,denim shorts,0
31,new look,GB,denim shorts,0
31,new look shorts,GB,denim shorts,0
30,next denim shorts,GB,denim shorts,0
30,asos,GB,denim shorts,0
30,girls denim shorts,GB,denim shorts,0
29,girls shorts,GB,denim shorts,0
100,best jeans for women,GB,jeans for women,0
96,best jeans,GB,jeans for women,0
92,white jeans for women,GB,jeans for women,0
88,skinny jeans for women,GB,jeans for women,0
87,ripped jeans for women,GB,jeans for women,0
87,ripped jeans,GB,jeans for women,0
86,skinny jeans,GB,jeans for women,0
85,white jeans,GB,jeans for women,0
64,black jeans women,GB,jeans for women,0
62,black jeans,GB,jeans for women,0
58,black jeans for women,GB,jeans for women,0
32,denim jeans,GB,jeans for women,0
31,levi jeans for women,GB,jeans for women,0
30,denim jeans for women,GB,jeans for women,0
30,new look,GB,jeans for women,0
29,levi jeans,GB,jeans for women,0
29,levis jeans,GB,jeans for women,0
29,boyfriend jeans for women,GB,jeans for women,0
28,next jeans,GB,jeans for women,0
27,jeans jacket for women,GB,jeans for women,0
27,levis jeans for women,GB,jeans for women,0
27,levis,GB,jeans for women,0
26,high waisted jeans for women,GB,jeans for women,0
26,topshop jeans,GB,jeans for women,0
25,next jeans for women,GB,jeans for women,0
